"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.977827667E0,-1.051978415E0,-3.364399593E0,2.172879277E0,4.140923516E0
2.987834667E0,-3.128998000E0,-1.740095710E0,2.336183678E0,4.275080788E0
2.997841667E0,-5.513807416E0,-1.722572190E-1,2.120992255E0,5.910190599E0
3.007847667E0,-6.945979979E0,1.231469225E0,1.210344404E0,7.157379960E0
3.017854667E0,-7.166274413E0,2.516982509E0,2.045626469E-1,7.598192930E0
3.027861667E0,-6.969926666E0,2.515279800E0,-2.177234137E-1,7.413090697E0
3.037868667E0,-6.133995852E0,7.628482193E-1,-6.765908249E-1,6.218168353E0
3.047874667E0,-4.580309085E0,-1.279608766E0,-9.257778867E-1,4.844965903E0
3.057881667E0,-3.174311290E0,-2.281157870E0,-8.977230191E-1,4.010715649E0
3.067888667E0,-1.798189844E0,-2.953518088E0,-8.944016545E-1,3.571653697E0
3.077895667E0,-5.220508155E-1,-3.658017527E0,-1.153430823E0,3.870921331E0
3.087901667E0,8.912659389E-1,-3.621491725E0,-1.284423949E0,3.944528130E0
3.097908667E0,1.732111337E0,-2.559301148E0,-1.328124869E0,3.363650951E0
3.107915667E0,1.977985001E0,-1.280356625E0,-1.028260939E0,2.570808883E0
3.117922667E0,1.534762254E0,-5.452353179E-1,-4.251814556E-1,1.683316963E0
3.127928667E0,1.009517689E0,-9.977665401E-1,2.637225822E-2,1.419633590E0
3.137935667E0,5.773619673E-1,-2.053096579E0,1.931116059E-1,2.141458498E0
3.147942667E0,7.161456308E-1,-3.389528587E0,3.165819964E-1,3.478791855E0
3.157949667E0,1.785628856E0,-4.349149647E0,1.049755011E0,4.817214822E0
