"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.918586875E0,6.184539185E0,9.097332001E0,2.910098419E0,1.137886845E1
1.928592875E0,6.025719452E0,8.974736938E0,2.030527496E0,1.099901086E1
1.938598875E0,5.163512421E0,8.730145569E0,1.633852386E0,1.027359605E1
1.948604875E0,3.735332336E0,8.581654358E0,2.620001678E0,9.719151608E0
1.958610875E0,2.614912262E0,8.054151306E0,3.845353546E0,9.300207702E0
1.968616875E0,1.803000641E0,7.577991486E0,5.048102417E0,9.282246726E0
1.978622875E0,1.066532135E0,7.377857666E0,6.329737244E0,9.779358267E0
1.988628875E0,7.288343811E-1,7.275171204E0,7.111411743E0,1.019958296E1
1.998634875E0,1.213376770E0,7.422464905E0,7.595654755E0,1.068921136E1
2.008640875E0,2.061213684E0,7.857011261E0,7.788902893E0,1.125380985E1
2.018646875E0,2.757565613E0,8.212971039E0,7.471413116E0,1.144023930E1
2.028652875E0,3.541335754E0,8.587791595E0,7.174281006E0,1.173718584E1
2.038658875E0,4.159101105E0,9.057365112E0,6.825655975E0,1.207988263E1
2.048664875E0,4.579127655E0,9.324559479E0,6.372398529E0,1.218701286E1
2.058670875E0,4.760849762E0,9.371711426E0,5.856571198E0,1.203304166E1
2.068676875E0,4.397405548E0,9.450597382E0,5.643115082E0,1.185308881E1
2.078682875E0,3.529809723E0,9.277407532E0,5.292394409E0,1.124896821E1
2.088688875E0,2.913541260E0,9.083710327E0,4.762795715E0,1.066239837E1
2.098694875E0,3.395538940E0,9.161398773E0,4.579876099E0,1.079055964E1
2.108700875E0,4.771926727E0,9.138795776E0,4.065994720E0,1.108247202E1
2.118706875E0,5.924380188E0,9.301507416E0,2.994672546E0,1.142735247E1
2.128712875E0,6.762936401E0,9.132508850E0,1.362915802E0,1.144541682E1
2.138718875E0,6.752907257E0,8.977880402E0,5.080435181E-1,1.124554139E1
2.148724875E0,6.533313904E0,8.724457397E0,-3.436853027E-1,1.090497442E1
2.158730875E0,6.075565796E0,8.129444733E0,-1.265019379E0,1.022744569E1
2.168736875E0,5.601351929E0,7.878416748E0,-1.735790405E0,9.821281088E0
2.178742875E0,4.941224670E0,7.737709351E0,-2.204016724E0,9.441691425E0
2.188748875E0,4.591102753E0,7.857310638E0,-3.050805817E0,9.598071217E0
2.198754875E0,4.669539642E0,7.555238800E0,-4.864883423E0,1.012686153E1
2.208760875E0,4.722978516E0,7.284002838E0,-6.644083557E0,1.093192891E1
2.218766875E0,5.067561951E0,7.520660706E0,-7.252418518E0,1.161198071E1
2.228772875E0,5.782774658E0,7.968529358E0,-7.254663849E0,1.222980337E1
